Model,RMSE,R2 Score
Linear Regression,0.29554600725662683,-9.81304912972446
SVR,0.12149784208442684,-0.8274062765188817
Random Forest,0.13948192837705822,-1.4084291177540167
MLP,0.610541104637887,-45.14533459979063
